Company Name,Price,Lot Size,Source,ETL Date
Jessop & Company Limited Unlisted Shares,-,-,uzs,2023-09-13
JK Investo Trade (India) Unlisted Shares,-,-,uzs,2023-09-13
Kamarhatty Company Limited Unlisted Shares, ₹ 145,250 Shares,uzs,2023-09-13
Kannur International Airport Limited Unlisted Shares, ₹ 115,250 Shares,uzs,2023-09-13
Kingfisher Unlisted Shares,-,-,uzs,2023-09-13
Kitply Industries Limited Unlisted Shares, ₹ 7,2000 Shares,uzs,2023-09-13
Kurl-on Limited Unlisted Shares, ₹ 590,50 Shares,uzs,2023-09-13
KURLON Enterprise Limited Unlisted Shares, ₹ 675,25 Shares,uzs,2023-09-13
Kusum Industrial Gases Limited Unlisted Shares, ₹ 348,50 Shares,uzs,2023-09-13
Lakeshore Hospital Unlisted Share Price, ₹ Best In Industry,100 Shares,uzs,2023-09-13
LAVA International Limited Unlisted Shares, ₹ 105,100 Shares,uzs,2023-09-13
LE Travenues Technology (IXIGO) Unlisted Share, ₹ 105,100 Shares,uzs,2023-09-13
Lotte India Corporation Limited Unlisted Shares, ₹ 475,50 Shares,uzs,2023-09-13
Madbow Ventures Unlisted Shares, ₹ 55,500 Shares,uzs,2023-09-13
Maharaja Shree Umaid Mills Unlisted Shares, ₹ 135,250 Shares,uzs,2023-09-13
Maharashtra Knowledge Corporation (MKCL) Limited Unlisted Shares, ₹ 525,50 Shares,uzs,2023-09-13
Malayalam Communications Limited Unlisted Shares, ₹ 35995,10 Shares,uzs,2023-09-13
Manjushree Technopack India Limited Unlisted Shares, ₹ 1200,25 Shares,uzs,2023-09-13
Market Simplified Unlisted Shares Price,-,-,uzs,2023-09-13
Martin and Harris Laboratories Limited Unlisted Shares, ₹ Best in Industry,25 Shares,uzs,2023-09-13
Maxvalue Credits and Investments Unlisted Shares, ₹ 6.5056,1000 Shares,uzs,2023-09-13
Meghmani Finechem Unlisted Shares,-,-,uzs,2023-09-13
Merino Industries Limited Unlisted Shares, ₹ 3350,10 Shares,uzs,2023-09-13
Metropolitan Stock Exchange (MSEI) Unlisted Shares, ₹ 1.2091,20000 Shares,uzs,2023-09-13
Midland Microfin Limited Unlisted Shares,-,-,uzs,2023-09-13
Milton Cycle Industries Limited Unlisted Shares, ₹ 195,100 Shares,uzs,2023-09-13
Minosha India (Ricoh India) Limited Unlisted Shares,-,-,uzs,2023-09-13
Mitsubishi Heavy Industries India Precision Tools Ltd. Unlisted Shares,-,-,uzs,2023-09-13
Mobikwik Unlisted Shares, ₹ 375,25 Shares,uzs,2023-09-13
Mobisy Technologies Unlisted Shares,-,-,uzs,2023-09-13
Modern Insulator Limited Unlisted Shares,-,-,uzs,2023-09-13
Mohan Meakin Limited Unlisted Shares, ₹ 1725,50 Shares,uzs,2023-09-13
Mohindra Fasteners Limited Unlisted Shares, ₹ 240,100 Shares,uzs,2023-09-13
Motilal Oswal Home Finance Limited Unlisted Shares, ₹ 11.5025,1000 Shares,uzs,2023-09-13
Naraingarh Sugar Mills Limited Unlisted Shares,-,-,uzs,2023-09-13
Nayara Energy (Formerly Essar Oil) Limited Unlisted Shares, ₹ 285,100 Shares,uzs,2023-09-13
Nazara Technologies Unlisted Shares,-,-,uzs,2023-09-13
NCL Buildtek Limited (Previously NCL Alltek & Seccolor Limited) Unlisted Shares, ₹ 245,100 Shares,uzs,2023-09-13
NCL Holdings Unlisted Shares, ₹ 75,250 Shares,uzs,2023-09-13
Northern Arc Capital Unlisted Shares Price,-,-,uzs,2023-09-13
NSE India Limited Unlisted Shares, ₹ 3601,100 Shares,uzs,2023-09-13
Nuchem Limited Unlisted Shares,-,-,uzs,2023-09-13
ORBIS FINANCIAL CORPORATION LIMITED, ₹ Best in Industry,50 Shares,uzs,2023-09-13
Otis Elevator (India) Limited Unlisted Shares, ₹ 4500,10 Shares,uzs,2023-09-13
Oyo Unlisted Shares, ₹ 82,500 Shares,uzs,2023-09-13
Parry Agro Industries Limited Unlisted Shares, ₹ 1740,25 Shares,uzs,2023-09-13
Paymate India Unlisted Shares Price,-,-,uzs,2023-09-13
Paytm One 97 Communication Unlisted Shares, ₹ 2700,10 Shares,uzs,2023-09-13
PB Fintech Limited Unlisted Shares,-,-,uzs,2023-09-13
PB Global Limited Unlisted Shares, ₹ 59,250 Shares,uzs,2023-09-13
PharmEasy Unlisted Shares, ₹ 12,1000 Shares,uzs,2023-09-13
Pharmed Limited Unlisted Shares,-,-,uzs,2023-09-13
Philips Domestic Appliances India Unlisted Shares, ₹ 675,50 Shares,uzs,2023-09-13
Philips India Limited Unlisted Shares, ₹ 975,25 Shares,uzs,2023-09-13
PNB Finance & Industries Limited Unlisted Shares, ₹ 7500,10 Shares,uzs,2023-09-13
Policybazaar Unlisted Shares,-,-,uzs,2023-09-13
Premier Cryogenics Limited Unlisted Shares, ₹ 323,100 Shares,uzs,2023-09-13
Proyuga Advanced Technologies Limited Unlisted Shares,-,-,uzs,2023-09-13
Quikr India Unlisted Shares,-,-,uzs,2023-09-13
Ramaraju Surgical Cotton Mills Limited Unlisted Shares, ₹ 375,50 Shares,uzs,2023-09-13
Raymotoss India Unlisted Shares,-,-,uzs,2023-09-13
RazorPay Unlisted Shares,-,-,uzs,2023-09-13
Reliance Broadcast Network Limited Unlisted Shares,-,-,uzs,2023-09-13
Reliance MediaWorks Limited Unlisted Shares,-,-,uzs,2023-09-13
Reliance Retail Limited Unlisted Shares, ₹ 3250,10 Shares,uzs,2023-09-13
Resin & Plastic Limited Unlisted Shares, ₹ 500,100 Shares,uzs,2023-09-13
Ring Plus Aqua Limited Unlisted Shares, ₹ 475,100 Shares,uzs,2023-09-13
Roop Telsonic Ultrasonix Limited Unlisted Shares, ₹ 175,250 Shares,uzs,2023-09-13
Roots Multiclean Limited Unlisted Share, ₹ 3000,10 Shares,uzs,2023-09-13
Rydak Syndicate Limited Unlisted Shares, ₹ 575,25 Shares,uzs,2023-09-13
S&S Power Switchgear Limited Unlisted Shares,-,-,uzs,2023-09-13
San Engineering and Locomotive Company Limited Unlisted Shares, ₹ 714,50 Shares,uzs,2023-09-13
SBI General Insurance Unlisted Shares, ₹ 1150,250 Shares,uzs,2023-09-13
SBI Home Finance Limited Unlisted Shares, ₹ 35,250 Shares,uzs,2023-09-13
SBI Mutual Fund Unlisted Shares, ₹ 1250,50 Shares,uzs,2023-09-13
Schneider Electric President Systems Unlisted Shares,-,-,uzs,2023-09-13
Shree Hanuman Sugar & Industries Limited Unlisted Shares, ₹ 5,2000 Shares,uzs,2023-09-13
Shriram Life Insurance Co. Ltd Unlisted Shares, ₹ 400,50 Shares,uzs,2023-09-13
Sigachi Laboratories Limited Unlisted Shares, ₹ 52,1000 Shares,uzs,2023-09-13
Signify Innovations (Previously Phillips Lighting) India Limited Unlisted Shares, ₹ 1650,50 Shares,uzs,2023-09-13
Silverline Technologies Limited Unlisted Shares, ₹ 10,1000 Shares,uzs,2023-09-13
Simpson and Company Limited Unlisted Shares,-,1 Shares,uzs,2023-09-13
Simsim (SZS Tech Private Limited) Unlisted Shares,-,-,uzs,2023-09-13
Smaaash Entertainment Unlisted Shares,-,-,uzs,2023-09-13
SMC Global Securities Limited Unlisted Shares,-,-,uzs,2023-09-13
SMILE Microfinance Unlisted Shares, ₹ 82,250 Shares,uzs,2023-09-13
Spencer and Company Limited Unlisted Shares, ₹ 1079,25 Shares,uzs,2023-09-13
Sri Kannapiran Mills Limited Unlisted Shares, ₹ 159,100 Shares,uzs,2023-09-13
Sri Vishnu Shankar Mill Limited Unlisted Shares, ₹ 525,50 Shares,uzs,2023-09-13
Star Union Dai-Ichi Life Insurance Unlisted Shares,-,-,uzs,2023-09-13
Sterlite Power Transmission Limited Unlisted Shares, ₹ 625,25 Shares,uzs,2023-09-13
Studds Accessories Limited Unlisted Shares, ₹ 930,25 Shares,uzs,2023-09-13
Suryoday Small Finance Bank Limited Unlisted Shares,-,-,uzs,2023-09-13
Swiggy Unlisted Shares,-,-,uzs,2023-09-13
Syngenta India Limited Unlisted Shares,-,-,uzs,2023-09-13
T.Stanes and Company Limited Unlisted Shares,-,-,uzs,2023-09-13
Tamilnad Mercantile Bank Unlisted Shares, ₹ 575,50 Shares,uzs,2023-09-13
Taparia Tools Limited Unlisted Shares,-,25 Shares,uzs,2023-09-13
TATA Capital Limited Unlisted Share Price,-,-,uzs,2023-09-13
Tata Technologies Limited Unlisted Shares, ₹ 1025,50 Shares,uzs,2023-09-13
Tea Time Unlisted Shares,-,-,uzs,2023-09-13
Teesta Agro Industries Limited Unlisted Shares,-,-,uzs,2023-09-13
The Methoni Tea Company Limited Unlisted Shares,-,-,uzs,2023-09-13
The Midland Rubber & Produce Co Limited Unlisted Shares,-,-,uzs,2023-09-13
The Mysore Paper Mills Unlisted Shares, ₹ 12,1000 Shares,uzs,2023-09-13
The Nelliampathy Tea & Produce Company Limited Unlisted Shares,-,-,uzs,2023-09-13
The Scottish Assam (India) Limited Unlisted Shares, ₹ 775,50 Shares,uzs,2023-09-13
TRL Krosaki Refractories Unlisted Shares,-,-,uzs,2023-09-13
Tunwal E-Motors Private Limited Unlisted Shares,-,-,uzs,2023-09-13
Twenty First Century (India) Limited Unlisted Shares,-,-,uzs,2023-09-13
UTI AMC Unlisted Shares,-,-,uzs,2023-09-13
Utkarsh Micro Finance Unlisted Shares, ₹ 210,100 Shares,uzs,2023-09-13
Vam Holdings Unlisted Shares,-,-,uzs,2023-09-13
Vanaz Engineers Limited Unlisted Shares,-,-,uzs,2023-09-13
Vikram Solar Unlisted Shares,-,-,uzs,2023-09-13
Waaree Energies Unlisted Shares,-,-,uzs,2023-09-13
Xerox India Limited Unlisted Shares,-,100 Shares,uzs,2023-09-13
Yokogawa India Limited Unlisted Share,-,-,uzs,2023-09-13
